NOME_VIA,NOME_QUARTIERE
VIA AMBROGIO MAGENTA,Navile

AUTOSTRADA A-14 (BO-RN),Borgo Panigale - Reno
AUTOSTRADA A-14 (RN-BO),Borgo Panigale - Reno
LARGO VITTIME LAGER NAZISTI,Borgo Panigale - Reno
NOME VIA DA ISTITUIRE,Borgo Panigale - Reno
P.ZZA GIOVANNI XXIII,Borgo Panigale - Reno
PIAZZA ALDO CAPITINI,Borgo Panigale - Reno
PIAZZA CLODOVEO BONAZZI,Borgo Panigale - Reno
PIAZZA GIOVANNI BERNARDI,Borgo Panigale - Reno
PONTE RICCARDO BACCHELLI,Borgo Panigale - Reno
RACCORDO A-1 CON A-14,Borgo Panigale - Reno
RACCORDO A-14 CON A-1,Borgo Panigale - Reno
RACCORDO BORGO PANIGALE-TANGENZIALE,Borgo Panigale - Reno
RACCORDO TANGENZIALE-BORGO PANIGALE,Borgo Panigale - Reno
RAMPA TANG.USCITA DUE CASAL.-S.LAZZ.,Borgo Panigale - Reno
RAMPA TANG.USCITA DUE S.LAZZ.-CASAL.,Borgo Panigale - Reno
ROTONDA AMILCARE RONCARATI,Borgo Panigale - Reno
ROTONDA ANTONIO GASBARRINI,Borgo Panigale - Reno
ROTONDA ARISTIDE FACCIOLI,Borgo Panigale - Reno
ROTONDA BATTAGLIA DI CASTELDEBOLE,Borgo Panigale - Reno
ROTONDA BENEDETTO CROCE,Borgo Panigale - Reno
"ROTONDA DOMENICO MARACINO DETTO ""DODI""",Borgo Panigale - Reno
ROTONDA DON LIBERO NANNI,Borgo Panigale - Reno
ROTONDA FABIO TAGLIONI,Borgo Panigale - Reno
ROTONDA GIULIO PASTORE,Borgo Panigale - Reno
ROTONDA IGNAZIO MAGNANI,Borgo Panigale - Reno
ROTONDA LUCIANO ROMAGNOLI,Borgo Panigale - Reno
ROTONDA ONORATO MALAGUTI,Borgo Panigale - Reno
ROTONDA PATRIZIA VICINELLI,Borgo Panigale - Reno
TANGENZIALE CASALECCHIO-SAN LAZZARO,Borgo Panigale - Reno
TANGENZIALE SAN LAZZARO-CASALECCHIO,Borgo Panigale - Reno
VIA A. E P. LORENZETTI,Borgo Panigale - Reno
VIA ACHILLE GRANDI,Borgo Panigale - Reno
VIA ADOLFO DE CAROLIS,Borgo Panigale - Reno
VIA ADRIANO BANCHIERI,Borgo Panigale - Reno
VIA AGUCCHI,Borgo Panigale - Reno
VIA ALBERELLI,Borgo Panigale - Reno
VIA ALBERTO BERGAMINI,Borgo Panigale - Reno
VIA ALBERTO CALDA,Borgo Panigale - Reno
VIA ALBERTO EINSTEIN,Borgo Panigale - Reno
VIA ALCESTE DE AMBRIS,Borgo Panigale - Reno
VIA ALDO PIO MANUZIO,Borgo Panigale - Reno
VIA ALESSANDRO GUARDASSONI,Borgo Panigale - Reno
VIA ALESSANDRO MENGANTI,Borgo Panigale - Reno
VIA ALESSANDRO SCORZONI,Borgo Panigale - Reno
VIA ALESSANDRO TASSONI,Borgo Panigale - Reno
VIA ALFONSO SAMOGGIA,Borgo Panigale - Reno
VIA AMATORE SCIESA,Borgo Panigale - Reno
VIA AMEDEO MODIGLIANI,Borgo Panigale - Reno
VIA ANDREA MANTEGNA,Borgo Panigale - Reno
VIA ANDREA PALLADIO,Borgo Panigale - Reno
VIA ANGELO PIO',Borgo Panigale - Reno
VIA ANGELO RUFFINI,Borgo Panigale - Reno
VIA ANSELMO MARABINI,Borgo Panigale - Reno
VIA ANTONIO CANALETTO,Borgo Panigale - Reno
VIA ANTONIO CAVALIERI DUCATI,Borgo Panigale - Reno
VIA ANTONIO FOGAZZARO,Borgo Panigale - Reno
VIA ANTONIO GRAZIADEI,Borgo Panigale - Reno
VIA ANTONIO MANCINI,Borgo Panigale - Reno
VIA ARETUSI,Borgo Panigale - Reno
VIA ARGENTINA ALTOBELLI,Borgo Panigale - Reno
VIA ARIOSTO,Borgo Panigale - Reno
VIA ARISTIDE ZUCCONI,Borgo Panigale - Reno
VIA ARMANDO SARTI,Borgo Panigale - Reno
VIA ARMANDO SPADINI,Borgo Panigale - Reno
VIA ARNALDO DA BRESCIA,Borgo Panigale - Reno
VIA ARTURO COLOMBI,Borgo Panigale - Reno
VIA AUGUSTO PULEGA,Borgo Panigale - Reno
VIA BALZANI,Borgo Panigale - Reno
VIA BARTOLOMEO DA VARIGNANA,Borgo Panigale - Reno
VIA BARTOLOMEO RAMENGHI,Borgo Panigale - Reno
VIA BATTINDARNO,Borgo Panigale - Reno
VIA BENVENUTO TISI,Borgo Panigale - Reno
VIA BERNARDINO RAMAZZINI,Borgo Panigale - Reno
VIA BERRETTA ROSSA,Borgo Panigale - Reno
VIA BRIGATA BOLERO,Borgo Panigale - Reno
VIA BRUNO BENCIVENNI,Borgo Panigale - Reno
VIA BRUNO BUOZZI,Borgo Panigale - Reno
VIA BRUSCHETTI,Borgo Panigale - Reno
VIA CADUTI DI AMOLA,Borgo Panigale - Reno
VIA CADUTI DI CASTELDEBOLE,Borgo Panigale - Reno
